Soil Report,,,,
,,,,
"Date : Aug 2, 2026, 3:43:43 PM",,,,
,,,,
District,Description,Description,,
Anantapur,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",1494880.279,,
Chittoor,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",958198.886,,
East Godavari,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",910568.509,,
Guntur,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",823676.742,,
Krishna,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",752112.218,,
Kurnool,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",1080063.427,,
Prakasam,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",937967.897,,
Srikakulam,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",557074.836,,
Sri Potti Sriramulu Nellore,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",1094687.773,,
Visakhapatnam,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",1026996.033,,
Vizianagaram,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",556584.604,,
West Godavari,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",700463.305,,
YSR,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",496379.721,,
Anantapur,Extremely shallow (< 10cm),87149.943,,
Chittoor,Extremely shallow (< 10cm),7291.281,,
East Godavari,Extremely shallow (< 10cm),41209.735,,
Guntur,Extremely shallow (< 10cm),41574.106,,
Krishna,Extremely shallow (< 10cm),24077.542,,
Kurnool,Extremely shallow (< 10cm),26041.664,,
Prakasam,Extremely shallow (< 10cm),24894.154,,
Srikakulam,Extremely shallow (< 10cm),11487.98,,
Sri Potti Sriramulu Nellore,Extremely shallow (< 10cm),107984.747,,
Visakhapatnam,Extremely shallow (< 10cm),4795.161,,
Vizianagaram,Extremely shallow (< 10cm),854.693,,
West Godavari,Extremely shallow (< 10cm),20393.007,,
YSR,Extremely shallow (< 10cm),33016.817,,
Anantapur,Shallow (25-50cm),286972.529,,
Chittoor,Shallow (25-50cm),275990.733,,
East Godavari,Shallow (25-50cm),105220.204,,
Guntur,Shallow (25-50cm),232303.701,,
Krishna,Shallow (25-50cm),32934.694,,
Kurnool,Shallow (25-50cm),595135.37,,
Prakasam,Shallow (25-50cm),651776.679,,
Srikakulam,Shallow (25-50cm),6482.315,,
Sri Potti Sriramulu Nellore,Shallow (25-50cm),92160.405,,
Visakhapatnam,Shallow (25-50cm),86252.964,,
Vizianagaram,Shallow (25-50cm),30796.344,,
West Godavari,Shallow (25-50cm),29558.419,,
YSR,Shallow (25-50cm),866948.161,,
Anantapur,Very shallow (10-25 cm),29768.778,,
Chittoor,Very shallow (10-25 cm),253148.628,,
Guntur,Very shallow (10-25 cm),21072.272,,
Krishna,Very shallow (10-25 cm),27299.722,,
Kurnool,Very shallow (10-25 cm),49090.399,,
Prakasam,Very shallow (10-25 cm),124235.041,,
Sri Potti Sriramulu Nellore,Very shallow (10-25 cm),14681.566,,
West Godavari,Very shallow (10-25 cm),7847.566,,
YSR,Very shallow (10-25 cm),100625.411,,
East Godavari,DATA NOT AVAILABLE,112.934,,
Guntur,DATA NOT AVAILABLE,24.218,,
Krishna,DATA NOT AVAILABLE,101.301,,
Prakasam,DATA NOT AVAILABLE,63.31,,
Srikakulam,DATA NOT AVAILABLE,81.762,,
Sri Potti Sriramulu Nellore,DATA NOT AVAILABLE,60.223,,
Visakhapatnam,DATA NOT AVAILABLE,47.63,,
Vizianagaram,DATA NOT AVAILABLE,14.163,,
West Godavari,DATA NOT AVAILABLE,11.394,,
YSR,DATA NOT AVAILABLE,2.178,,
,,,,
This sheet is downloaded from www.indiawris.gov.in.,,,,
