Soil Erosion Report,,,,,
,,,,,
"Date : Aug 2, 2026, 3:43:43 PM",,,,,
,,,,,
District,Description,Area (Hectares),,,
Anantapur,Moderate,823466.708,,,
Chittoor,Moderate,868638.896,,,
East Godavari,Moderate,402028.418,,,
Guntur,Moderate,314817.44,,,
Krishna,Moderate,320040.083,,,
Kurnool,Moderate,476952.52,,,
Prakasam,Moderate,739088.781,,,
Srikakulam,Moderate,289804.104,,,
Sri Potti Sriramulu Nellore,Moderate,538791.294,,,
Visakhapatnam,Moderate,484563.388,,,
Vizianagaram,Moderate,398156.382,,,
West Godavari,Moderate,246343.175,,,
YSR,Moderate,374914.55,,,
Anantapur,"None to slight, slight",436055.374,,,
Chittoor,"None to slight, slight",195953.732,,,
East Godavari,"None to slight, slight",376818.199,,,
Guntur,"None to slight, slight",537253.345,,,
Krishna,"None to slight, slight",439967.02,,,
Kurnool,"None to slight, slight",591467.215,,,
Prakasam,"None to slight, slight",416269.18,,,
Srikakulam,"None to slight, slight",227596.577,,,
Sri Potti Sriramulu Nellore,"None to slight, slight",570650.024,,,
Visakhapatnam,"None to slight, slight",112205.65,,,
Vizianagaram,"None to slight, slight",93389.714,,,
West Godavari,"None to slight, slight",382785.971,,,
YSR,"None to slight, slight",238163.322,,,
Anantapur,Severe,610119.083,,,
Chittoor,Severe,422755.017,,,
East Godavari,Severe,236944.644,,,
Guntur,Severe,224983.001,,,
Krishna,Severe,52337.526,,,
Kurnool,Severe,655874.371,,,
Prakasam,Severe,558628.827,,,
Srikakulam,Severe,46149.779,,,
Sri Potti Sriramulu Nellore,Severe,92086.702,,,
Visakhapatnam,Severe,453096.148,,,
Vizianagaram,Severe,37997.916,,,
West Godavari,Severe,103508.11,,,
YSR,Severe,850872.257,,,
Anantapur,"Very severe, gullied",29130.362,,,
Chittoor,"Very severe, gullied",7281.882,,,
East Godavari,"Very severe, gullied",41208.55,,,
Guntur,"Very severe, gullied",41573.035,,,
Krishna,"Very severe, gullied",24079.694,,,
Kurnool,"Very severe, gullied",26036.754,,,
Prakasam,"Very severe, gullied",24889.494,,,
Srikakulam,"Very severe, gullied",11493.476,,,
Sri Potti Sriramulu Nellore,"Very severe, gullied",107989.111,,,
Visakhapatnam,"Very severe, gullied",68178.699,,,
Vizianagaram,"Very severe, gullied",58691.629,,,
West Godavari,"Very severe, gullied",25625.042,,,
YSR,"Very severe, gullied",33019.981,,,
East Godavari,DATA NOT AVAILABLE,111.571,,,
Guntur,DATA NOT AVAILABLE,24.218,,,
Krishna,DATA NOT AVAILABLE,101.154,,,
Prakasam,DATA NOT AVAILABLE,60.799,,,
Srikakulam,DATA NOT AVAILABLE,82.959,,,
Sri Potti Sriramulu Nellore,DATA NOT AVAILABLE,57.584,,,
Visakhapatnam,DATA NOT AVAILABLE,47.904,,,
Vizianagaram,DATA NOT AVAILABLE,14.163,,,
West Godavari,DATA NOT AVAILABLE,11.394,,,
YSR,DATA NOT AVAILABLE,2.178,,,
,,,,,
This sheet is downloaded from www.indiawris.gov.in.,,,,,
