Reservoir Summary

Reservoir,Reservoir Level Information & Capacity Details,,,,,Instant Inflow & Outflow,,,Basin,District,Alert
,Date and Time,Gross Capacity at FRL (T.M.C.),Current Level (feet),Current Storage (T.M.C.),Flood Cushion (T.M.C.),Date and Time,Inflow (Cusecs),Outflow (Cusecs),,,
SRISAILAM R,8/4/26,215.81,857.7,99.12,116.69,8/4/26,162822,800,Krishna,Nandyal,-
NAGARJUNA SAGAR,8/3/26,312.05,513.1,136.99,175.06,8/3/26,27410,27410,Krishna,Palnadu,-
PULICHINTHALA PROJECT,8/3/26,45.77,162.82,28.92,16.85,8/3/26,0,400,Krishna,Palnadu,-
GORAKKALU BALANCING RESERVIOR,8/4/26,11,775.79,2.48,8.52,8/4/26,0,30,Pennar,Nandyal,-
GAJULADINNE PROJECT,8/3/26,4.5,1229.16,2.44,2.06,8/3/26,171,40,Krishna,Kurnool,-
BUGGAVAGU,8/3/26,3.46,457.1,1.7,1.76,8/3/26,0,12,Krishna,Palnadu,-
PRAKASAM BARRAGE,8/4/26,3.07,56.95,3.05,0.02,8/4/26,6878,6346,Krishna,NTR,-
GONELAVAGU RESERVOIR,8/3/26,1.77,325,0.19,1.58,8/3/26,0,6,Other,Eluru,-
SUNKESULA BARRAGE,8/4/26,1.24,953.41,0.72,0.52,8/4/26,0,159,Krishna,Kurnool,-
VARADARAJASWAMY GUDI PROJECT,8/3/26,0.39,1164.69,0.03,0.36,8/3/26,0,0,Krishna,Nandyal,-
ZURRERU RESERVOIR,8/3/26,0.27,849.5,0.07,0.2,8/3/26,0,0,Pennar,Nandyal,-
GODDUMARRI ANICUT,8/3/26,0.07,849.77,0,0.07,8/3/26,0,0,Pennar,Ananthapuramu,-
MUNIYERU PROJECT,8/3/26,0.13,214.17,0,0.13,8/3/26,0,0,Krishna,NTR,-
YERRAKALVA RESERVOIR,8/3/26,4.43,257.48,1.15,3.28,8/3/26,0,90,Other,Eluru,-
SIR AURTHUR COTTON BARRAGE,8/3/26,2.93,46,2.93,0,8/3/26,1221806,1221806,GODAVARI,Konaseema,-
MUSURIMALLI,8/3/26,1.6,365.81,0.22,1.38,8/3/26,50,150,GODAVARI,Polavaram,-
TAMMILERU RESERVOIR,8/3/26,1.23,325,0.11,1.12,8/3/26,0,6,Other,Eluru,-
BHUPATIPALEM RESERVOIR,8/4/26,0.65,669.06,0.64,0.01,8/4/26,60,40,GODAVARI,Polavaram,-
MADDIGEDDA PROJECT,8/4/26,0.48,577.43,0,0.48,8/4/26,0,0,Other,Polavaram,-
KOVVADAKALVA RESERVOIR,8/4/26,0.44,268.22,0.03,0.41,8/4/26,17,17,GODAVARI,East Godavari,-
JALLERU RESERVOIR,8/4/26,0.54,689.96,0.18,0.36,8/4/26,12,0,Other,Eluru,-
SUREMPALEM RESERVOIR,8/4/26,0.28,327.91,0.05,0.23,8/4/26,10,10,GODAVARI,Polavaram,-
