Soil Productivity,,,,,
,,,,,
"Date : Aug 2, 2026, 3:43:43 PM",,,,,
,,,,,
District,Description,Area (Hectares),,,
Anantapur,HIGHLY PRODUCTIVE,494862.348,,,
Chittoor,HIGHLY PRODUCTIVE,324323.288,,,
East Godavari,HIGHLY PRODUCTIVE,379604.821,,,
Guntur,HIGHLY PRODUCTIVE,484915.482,,,
Krishna,HIGHLY PRODUCTIVE,541968.247,,,
Kurnool,HIGHLY PRODUCTIVE,604386.446,,,
Prakasam,HIGHLY PRODUCTIVE,658569.493,,,
Srikakulam,HIGHLY PRODUCTIVE,231512.391,,,
Sri Potti Sriramulu Nellore,HIGHLY PRODUCTIVE,648467.08,,,
Visakhapatnam,HIGHLY PRODUCTIVE,119826.941,,,
Vizianagaram,HIGHLY PRODUCTIVE,94862.621,,,
West Godavari,HIGHLY PRODUCTIVE,442742.137,,,
YSR,HIGHLY PRODUCTIVE,87517.582,,,
Anantapur,LOW PRODUCTIVE,436442.46,,,
Chittoor,LOW PRODUCTIVE,287932.43,,,
East Godavari,LOW PRODUCTIVE,154117.334,,,
Guntur,LOW PRODUCTIVE,303712.771,,,
Krishna,LOW PRODUCTIVE,49373.3,,,
Kurnool,LOW PRODUCTIVE,648387.448,,,
Prakasam,LOW PRODUCTIVE,582893.6,,,
Srikakulam,LOW PRODUCTIVE,57472.945,,,
Sri Potti Sriramulu Nellore,LOW PRODUCTIVE,246912.918,,,
Visakhapatnam,LOW PRODUCTIVE,57402.078,,,
Vizianagaram,LOW PRODUCTIVE,76029.713,,,
West Godavari,LOW PRODUCTIVE,85733.594,,,
YSR,LOW PRODUCTIVE,754862.406,,,
Anantapur,MODERATELY LOW PRODUCTIVE,149510.769,,,
Chittoor,MODERATELY LOW PRODUCTIVE,232752.449,,,
Guntur,MODERATELY LOW PRODUCTIVE,57797.846,,,
Krishna,MODERATELY LOW PRODUCTIVE,21360.771,,,
Kurnool,MODERATELY LOW PRODUCTIVE,30469.863,,,
Prakasam,MODERATELY LOW PRODUCTIVE,75783.262,,,
Srikakulam,MODERATELY LOW PRODUCTIVE,364.54,,,
Sri Potti Sriramulu Nellore,MODERATELY LOW PRODUCTIVE,8329.991,,,
Visakhapatnam,MODERATELY LOW PRODUCTIVE,2213.049,,,
Vizianagaram,MODERATELY LOW PRODUCTIVE,1903.879,,,
YSR,MODERATELY LOW PRODUCTIVE,169759.059,,,
Anantapur,MODERATELY PRODUCTIVE,565232.533,,,
Chittoor,MODERATELY PRODUCTIVE,464319.762,,,
East Godavari,MODERATELY PRODUCTIVE,132401.358,,,
Guntur,MODERATELY PRODUCTIVE,230633.547,,,
Krishna,MODERATELY PRODUCTIVE,194040.824,,,
Kurnool,MODERATELY PRODUCTIVE,433555.36,,,
Prakasam,MODERATELY PRODUCTIVE,396742.315,,,
Srikakulam,MODERATELY PRODUCTIVE,183912.334,,,
Sri Potti Sriramulu Nellore,MODERATELY PRODUCTIVE,297825.155,,,
Visakhapatnam,MODERATELY PRODUCTIVE,237723.098,,,
Vizianagaram,MODERATELY PRODUCTIVE,258023.005,,,
West Godavari,MODERATELY PRODUCTIVE,152520.682,,,
YSR,MODERATELY PRODUCTIVE,352914.807,,,
Anantapur,NON PRODUCTIVE,252723.417,,,
Chittoor,NON PRODUCTIVE,185301.597,,,
East Godavari,NON PRODUCTIVE,390872.878,,,
Guntur,NON PRODUCTIVE,41568.877,,,
Krishna,NON PRODUCTIVE,29678.702,,,
Kurnool,NON PRODUCTIVE,33531.743,,,
Prakasam,NON PRODUCTIVE,24889.494,,,
Srikakulam,NON PRODUCTIVE,101781.726,,,
Sri Potti Sriramulu Nellore,NON PRODUCTIVE,107980.837,,,
Visakhapatnam,NON PRODUCTIVE,700878.191,,,
Vizianagaram,NON PRODUCTIVE,157416.423,,,
West Godavari,NON PRODUCTIVE,77265.788,,,
YSR,NON PRODUCTIVE,131916.257,,,
East Godavari,,,,,
Guntur,DATA NOT AVAILABLE,22.516,,,
Krishna,DATA NOT AVAILABLE,103.633,,,
Prakasam,DATA NOT AVAILABLE,58.917,,,
Srikakulam,DATA NOT AVAILABLE,82.959,,,
Sri Potti Sriramulu Nellore,DATA NOT AVAILABLE,58.733,,,
Visakhapatnam,DATA NOT AVAILABLE,48.431,,,
Vizianagaram,DATA NOT AVAILABLE,14.163,,,
West Godavari,DATA NOT AVAILABLE,11.491,,,
YSR,DATA NOT AVAILABLE,2.178,,,
,,,,,
This sheet is downloaded from www.indiawris.gov.in.,,,,,
