Soil Slope Report,,,,,
,,,,,
"Date : Aug 2, 2026, 3:43:43 PM",,,,,
,,,,,
District,Description,Area (Hectares),,,
Anantapur,gently sloping (3-8%),1237304.411,,,
Chittoor,gently sloping (3-8%),766938.117,,,
East Godavari,gently sloping (3-8%),350040.254,,,
Guntur,gently sloping (3-8%),541384.304,,,
Krishna,gently sloping (3-8%),248661.412,,,
Kurnool,gently sloping (3-8%),760980.382,,,
Prakasam,gently sloping (3-8%),693227.227,,,
Srikakulam,gently sloping (3-8%),303411.798,,,
Sri Potti Sriramulu Nellore,gently sloping (3-8%),490018.066,,,
Visakhapatnam,gently sloping (3-8%),315761.876,,,
Vizianagaram,gently sloping (3-8%),393194.43,,,
West Godavari,gently sloping (3-8%),308064.777,,,
YSR,gently sloping (3-8%),882212.239,,,
Anantapur,"Moderately Steep sloping (15-30%), steeply sloping ( above 30%)",29129.853,,,
Chittoor,"Moderately Steep sloping (15-30%), steeply sloping ( above 30%)",7282.204,,,
East Godavari,"Moderately Steep sloping (15-30%), steeply sloping ( above 30%)",390896.138,,,
Guntur,"Moderately Steep sloping (15-30%), steeply sloping ( above 30%)",41569.554,,,
Krishna,"Moderately Steep sloping (15-30%), steeply sloping ( above 30%)",24081.354,,,
Kurnool,"Moderately Steep sloping (15-30%), steeply sloping ( above 30%)",26046.925,,,
Prakasam,"Moderately Steep sloping (15-30%), steeply sloping ( above 30%)",24888.836,,,
Srikakulam,"Moderately Steep sloping (15-30%), steeply sloping ( above 30%)",101782.756,,,
Sri Potti Sriramulu Nellore,"Moderately Steep sloping (15-30%), steeply sloping ( above 30%)",107992.171,,,
Visakhapatnam,"Moderately Steep sloping (15-30%), steeply sloping ( above 30%)",700871.585,,,
Vizianagaram,"Moderately Steep sloping (15-30%), steeply sloping ( above 30%)",157414.985,,,
West Godavari,"Moderately Steep sloping (15-30%), steeply sloping ( above 30%)",69468.682,,,
YSR,"Moderately Steep sloping (15-30%), steeply sloping ( above 30%)",33010.681,,,
Anantapur,Moderatly sloping (8-15%),209409.549,,,
Chittoor,Moderatly sloping (8-15%),442123.456,,,
East Godavari,Moderatly sloping (8-15%),580.482,,,
Guntur,Moderatly sloping (8-15%),87794.982,,,
Krishna,Moderatly sloping (8-15%),43403.459,,,
Kurnool,Moderatly sloping (8-15%),437340.254,,,
Prakasam,Moderatly sloping (8-15%),417870.488,,,
Srikakulam,Moderatly sloping (8-15%),1538.653,,,
Sri Potti Sriramulu Nellore,Moderatly sloping (8-15%),106841.58,,,
Visakhapatnam,Moderatly sloping (8-15%),379.011,,,
Vizianagaram,Moderatly sloping (8-15%),1669.668,,,
West Godavari,Moderatly sloping (8-15%),7805.937,,,
YSR,Moderatly sloping (8-15%),494231.686,,,
Anantapur,"Nearly leveled (0-1%),very gently sloping (1-3%)",422927.715,,,
Chittoor,"Nearly leveled (0-1%),very gently sloping (1-3%)",278285.75,,,
East Godavari,"Nearly leveled (0-1%),very gently sloping (1-3%)",315479.842,,,
Guntur,"Nearly leveled (0-1%),very gently sloping (1-3%)",447879.77,,,
Krishna,"Nearly leveled (0-1%),very gently sloping (1-3%)",520276.355,,,
Kurnool,"Nearly leveled (0-1%),very gently sloping (1-3%)",525963.298,,,
Prakasam,"Nearly leveled (0-1%),very gently sloping (1-3%)",602891.612,,,
Srikakulam,"Nearly leveled (0-1%),very gently sloping (1-3%)",168311.596,,,
Sri Potti Sriramulu Nellore,"Nearly leveled (0-1%),very gently sloping (1-3%)",604664.166,,,
Visakhapatnam,"Nearly leveled (0-1%),very gently sloping (1-3%)",101030.518,,,
Vizianagaram,"Nearly leveled (0-1%),very gently sloping (1-3%)",35956.558,,,
West Godavari,"Nearly leveled (0-1%),very gently sloping (1-3%)",372922.805,,,
YSR,"Nearly leveled (0-1%),very gently sloping (1-3%)",87515.504,,,
East Godavari,DATA NOT AVAILABLE,114.665,,,
Guntur,DATA NOT AVAILABLE,22.429,,,
Krishna,DATA NOT AVAILABLE,102.897,,,
Prakasam,DATA NOT AVAILABLE,58.917,,,
Srikakulam,DATA NOT AVAILABLE,82.091,,,
Sri Potti Sriramulu Nellore,DATA NOT AVAILABLE,58.733,,,
Visakhapatnam,DATA NOT AVAILABLE,48.798,,,
Vizianagaram,DATA NOT AVAILABLE,14.163,,,
West Godavari,DATA NOT AVAILABLE,11.491,,,
YSR,DATA NOT AVAILABLE,2.178,,,
,,,,,
This sheet is downloaded from www.indiawris.gov.in.,,,,,
