Soil Texture Report,,,,,
,,,,,
"Date : Aug 2, 2026, 3:43:43 PM",,,,,
,,,,,
District,Description,Area (Hectares),,,
Anantapur,"Clay,loamy clay,sandy clay, silty clay, sandy clay",1343903.555,,,
Chittoor,"Clay,loamy clay,sandy clay, silty clay, sandy clay",1037573.13,,,
East Godavari,"Clay,loamy clay,sandy clay, silty clay, sandy clay",700707.626,,,
Guntur,"Clay,loamy clay,sandy clay, silty clay, sandy clay",629272.919,,,
Krishna,"Clay,loamy clay,sandy clay, silty clay, sandy clay",634113.31,,,
Kurnool,"Clay,loamy clay,sandy clay, silty clay, sandy clay",929841.657,,,
Prakasam,"Clay,loamy clay,sandy clay, silty clay, sandy clay",1105787.936,,,
Srikakulam,"Clay,loamy clay,sandy clay, silty clay, sandy clay",426990.524,,,
Sri Potti Sriramulu Nellore,"Clay,loamy clay,sandy clay, silty clay, sandy clay",906158.814,,,
Visakhapatnam,"Clay,loamy clay,sandy clay, silty clay, sandy clay",855670.871,,,
Vizianagaram,"Clay,loamy clay,sandy clay, silty clay, sandy clay",440175.925,,,
West Godavari,"Clay,loamy clay,sandy clay, silty clay, sandy clay",688273.779,,,
YSR,"Clay,loamy clay,sandy clay, silty clay, sandy clay",432953.678,,,
Anantapur,"Loam, silt loam,silt,sandy loam",273928.215,,,
Chittoor,"Loam, silt loam,silt,sandy loam",146092.378,,,
East Godavari,"Loam, silt loam,silt,sandy loam",48251.733,,,
Guntur,"Loam, silt loam,silt,sandy loam",355400.428,,,
Krishna,"Loam, silt loam,silt,sandy loam",170003.424,,,
Kurnool,"Loam, silt loam,silt,sandy loam",737852.851,,,
Prakasam,"Loam, silt loam,silt,sandy loam",503947.911,,,
Srikakulam,"Loam, silt loam,silt,sandy loam",34943.807,,,
Sri Potti Sriramulu Nellore,"Loam, silt loam,silt,sandy loam",140550.581,,,
Visakhapatnam,"Loam, silt loam,silt,sandy loam",19144.848,,,
Vizianagaram,"Loam, silt loam,silt,sandy loam",9453.372,,,
West Godavari,"Loam, silt loam,silt,sandy loam",7927.226,,,
YSR,"Loam, silt loam,silt,sandy loam",824520.719,,,
Anantapur,"Loamy sand,sand",86230.624,,,
Chittoor,"Loamy sand,sand",125672.224,,,
East Godavari,"Loamy sand,sand",266824.768,,,
Guntur,"Loamy sand,sand",92381.309,,,
Krishna,"Loamy sand,sand",2630.786,,,
Kurnool,"Loamy sand,sand",49093.755,,,
Prakasam,"Loamy sand,sand",104249.309,,,
Srikakulam,"Loamy sand,sand",101618.514,,,
Sri Potti Sriramulu Nellore,"Loamy sand,sand",154820.475,,,
Visakhapatnam,"Loamy sand,sand",238433.738,,,
Vizianagaram,"Loamy sand,sand",137751.997,,,
West Godavari,"Loamy sand,sand",33872.455,,,
YSR,"Loamy sand,sand",107586.005,,,
Anantapur,"Rocky,other non-soil categories(builtup,waterbody)",194709.134,,,
Chittoor,"Rocky,other non-soil categories(builtup,waterbody)",185291.795,,,
East Godavari,"Rocky,other non-soil categories(builtup,waterbody)",41216.325,,,
Guntur,"Rocky,other non-soil categories(builtup,waterbody)",41573.867,,,
Krishna,"Rocky,other non-soil categories(builtup,waterbody)",29676.079,,,
Kurnool,"Rocky,other non-soil categories(builtup,waterbody)",33542.597,,,
Prakasam,"Rocky,other non-soil categories(builtup,waterbody)",24892.468,,,
Srikakulam,"Rocky,other non-soil categories(builtup,waterbody)",11488.478,,,
Sri Potti Sriramulu Nellore,"Rocky,other non-soil categories(builtup,waterbody)",107982.879,,,
Visakhapatnam,"Rocky,other non-soil categories(builtup,waterbody)",4794.402,,,
Vizianagaram,"Rocky,other non-soil categories(builtup,waterbody)",855.277,,,
West Godavari,"Rocky,other non-soil categories(builtup,waterbody)",28188.838,,,
YSR,"Rocky,other non-soil categories(builtup,waterbody)",131909.708,,,
East Godavari,DATA NOT AVAILABLE,110.929,,,
Guntur,DATA NOT AVAILABLE,22.516,,,
Krishna,DATA NOT AVAILABLE,101.877,,,
Prakasam,DATA NOT AVAILABLE,59.456,,,
Srikakulam,DATA NOT AVAILABLE,85.57,,,
Sri Potti Sriramulu Nellore,DATA NOT AVAILABLE,61.965,,,
Visakhapatnam,DATA NOT AVAILABLE,47.93,,,
Vizianagaram,DATA NOT AVAILABLE,13.233,,,
West Godavari,DATA NOT AVAILABLE,11.394,,,
YSR,DATA NOT AVAILABLE,2.178,,,
,,,,,
This sheet is downloaded from www.indiawris.gov.in.,,,,,
