District Wise Rainfall For Andhra Pradesh From Jun 01-2026  To Aug 02-2026

DISTRICT,6/26/00,,7/26/00,,Aug 01-2026 - Aug 02-2026,,Jun 01-2026 - Aug 02-2026,,,,
,Normal (mm),Actual (mm),Normal (mm),Actual (mm),Normal (mm),Actual (mm),No. of Rainy Days,Normal (mm),Actual (mm),Deviation (%),Status
Srikakulam,134.89,84.44,184.41,55.39,8.37,0.21,24,327.66,140.03,-57.26,Deficient
Vizianagaram,123.49,95.5,170.84,58.09,8.09,1.25,16,302.42,154.84,-48.8,Deficient
Parvathipuram Manyam,140.73,82.97,208.46,93.68,11.46,3.8,20,360.65,180.45,-49.97,Deficient
Alluri Sitharama Raju,153.91,72.52,286.33,184.18,13.45,5.5,28,453.68,262.2,-42.21,Deficient
Polavaram,170.05,101.26,299.43,175.2,12.95,11.32,30,482.43,287.77,-40.35,Deficient
Visakhapatnam,109.16,54.06,139.78,29.21,4.49,0.63,10,253.44,83.9,-66.9,Scanty
Anakapalli,123.21,97.52,175.92,45.42,5.09,3.58,20,304.22,146.53,-51.83,Deficient
Kakinada,112.78,107.6,198.01,82.11,9.13,8.63,19,319.92,198.34,-38,Deficient
Konaseema,112.48,57.92,240.09,123.99,6,9.08,18,358.57,190.99,-46.74,Deficient
East Godavari,115.29,65.2,247.02,80.42,12.16,31.77,22,374.48,177.4,-52.63,Deficient
West Godavari,110.36,61.75,245.6,85.64,8.17,9.2,16,364.13,156.59,-57,Deficient
Eluru,112.48,106.26,242.86,89.03,10.39,16.23,23,365.74,211.51,-42.17,Deficient
Krishna,91.55,93.12,196.12,78.41,4.59,11.34,21,292.26,182.88,-37.43,Deficient
NTR,108.6,142.65,234.46,49.71,8.55,15.9,19,351.61,208.26,-40.77,Deficient
Guntur,97.07,90.07,164.91,67.25,5.33,14.05,19,267.32,171.37,-35.89,Deficient
Bapatla,75.84,65.22,122.81,42.9,4.14,8.58,15,202.78,116.69,-42.45,Deficient
Palnadu,80.9,94.37,130.95,37.92,7.11,10.03,16,218.97,142.32,-35,Deficient
Prakasam,57.12,43.53,86.77,11.91,5.91,6.04,14,149.8,61.48,-58.96,Deficient
Markapuram,56.88,52.69,88.91,18.18,4.05,5.3,12,149.84,76.17,-49.17,Deficient
Sri Potti Sriramulu Nellore,51.63,48.68,82.75,53.65,6.38,5,11,140.75,107.33,-23.74,Deficient
Kurnool,78.89,74.28,90.53,38.8,4.41,3.28,15,173.82,116.36,-33.06,Deficient
Nandyal,76.79,82.23,141.17,35.46,7.16,3.42,18,225.12,121.11,-46.2,Deficient
Ananthapuramu,61.05,68.38,63.87,18.75,3.1,0.31,12,128.02,87.44,-31.7,Deficient
Sri Sathya Sai,66.58,59.27,70.87,13.29,3.87,0.71,9,141.31,73.26,-48.16,Deficient
Y.S.R Kadapa,69.08,47.85,98.09,21.88,3.41,0.69,10,170.58,70.43,-58.71,Deficient
Annamayya,77.5,40.42,95.2,6.66,2.47,0.59,7,175.16,47.68,-72.78,Scanty
Chittoor,79.5,52.73,101.68,14.81,5.38,2.68,10,186.55,70.22,-62.36,Scanty
Tirupati,74.44,48.85,102.19,52.08,8.01,11.71,16,184.64,112.64,-38.99,Deficient
COASTAL ANDHRA REGION,106.92,80.87,187.32,73.11,12.25,8.87,25,302.03,162.85,-46.08,Deficient
RAYALASEEMA REGION,72.98,59.25,95.45,25.22,7.95,2.92,14,173.15,87.39,-49.53,Deficient
Andhra Pradesh,97.22,72.73,161.07,51.69,6.53,6.72,30,265.21,131.14,-50.55,Deficient
