District,Borewell_ID,Borewell_Depth_ft,Water_Table_Depth_ft,Pump_Age_years,Daily_Usage_hours,Soil_Type,Region_Type,Annual_Rainfall_mm,Maintenance_Frequency_per_year,Motor_Temperature_C,Vibration_Level_mms,Voltage_Fluctuation_pct,Water_Yield_LPH,Casing_Pipe_Age_years,Failure_Risk_Score,Failure_Risk_Category,Failure_Within_6Months
Srikakulam,BW-SRI-00001,270.1,32.6,7.9,9.0,Sandy Clay,Coastal Andhra,533.5,1,60.0,3.02,12.0,2518,5.7,67.7,High,1
Srikakulam,BW-SRI-00002,214.2,14.8,5.7,5.8,Sandy Clay,Coastal Andhra,508.1,2,52.4,3.02,2.3,2377,4.8,44.1,Medium,1
Srikakulam,BW-SRI-00003,359.1,23.8,0.6,13.6,Sandy Loam,Coastal Andhra,436.0,0,56.0,1.54,8.0,2258,0,52.5,Medium,0
Srikakulam,BW-SRI-00004,285.7,18.0,21.0,10.6,Sandy Clay,Coastal Andhra,378.9,1,74.0,7.85,1.7,2205,21.4,100.0,High,1
Srikakulam,BW-SRI-00005,246.5,31.2,0.5,10.7,Sandy Clay,Coastal Andhra,399.3,2,55.9,2.27,6.8,2442,1.7,38.3,Medium,0
Srikakulam,BW-SRI-00006,207.2,38.0,6.1,11.0,Sandy Clay,Coastal Andhra,616.8,0,67.6,3.46,11.2,3751,6.0,78.1,High,1
Srikakulam,BW-SRI-00007,252.4,29.3,2.3,8.1,Sandy Clay,Coastal Andhra,405.3,1,55.5,1.56,11.0,2747,4.1,54.5,Medium,0
Srikakulam,BW-SRI-00008,320.6,24.4,13.4,8.5,Sandy Clay,Coastal Andhra,452.9,2,64.2,6.22,2.1,2651,16.1,93.2,High,1
Srikakulam,BW-SRI-00009,249.4,25.4,2.5,9.2,Sandy Loam,Coastal Andhra,497.8,2,49.0,0.85,1.3,2713,2.2,23.9,Low,0
Srikakulam,BW-SRI-00010,304.2,27.1,0.9,8.0,Sandy Clay,Coastal Andhra,594.9,2,58.0,0.1,4.4,2931,1.6,40.9,Medium,1
Srikakulam,BW-SRI-00011,357.7,24.7,1.2,6.5,Sandy Clay,Coastal Andhra,313.9,1,49.1,1.91,8.3,2261,1.4,41.8,Medium,0
Srikakulam,BW-SRI-00012,195.8,25.5,0.7,4.3,Sandy Clay,Coastal Andhra,531.2,3,47.7,0.1,11.1,2865,2.3,21.6,Low,0
Srikakulam,BW-SRI-00013,393.1,33.6,0.5,5.9,Sandy Clay,Coastal Andhra,521.0,0,54.4,2.56,3.1,2896,1.1,32.9,Low,0
Srikakulam,BW-SRI-00014,214.0,37.9,6.3,10.8,Sandy Clay,Coastal Andhra,335.6,1,62.6,3.05,4.9,2878,7.1,70.9,High,1
Srikakulam,BW-SRI-00015,521.3,26.5,1.3,10.9,Sandy Clay,Coastal Andhra,371.5,0,55.8,2.04,9.9,2720,0,48.7,Medium,0
Srikakulam,BW-SRI-00016,344.9,25.0,2.9,10.6,Sandy Clay,Coastal Andhra,520.8,1,54.2,2.08,9.5,2719,2.0,42.9,Medium,0
Srikakulam,BW-SRI-00017,381.5,35.6,7.3,5.2,Sandy Loam,Coastal Andhra,568.5,5,63.5,3.93,12.5,2613,4.5,68.2,High,1
Srikakulam,BW-SRI-00018,202.9,29.9,0.2,2.4,Sandy Clay,Coastal Andhra,392.8,2,55.5,1.66,6.7,2749,4.8,25.3,Low,1
Srikakulam,BW-SRI-00019,220.3,29.0,4.7,10.5,Sandy Loam,Coastal Andhra,446.7,3,53.0,4.58,1.3,2530,7.4,47.4,Medium,1
Srikakulam,BW-SRI-00020,329.2,42.7,6.5,13.0,Sandy Loam,Coastal Andhra,652.0,2,62.5,4.13,5.2,2475,7.3,70.4,High,1
Srikakulam,BW-SRI-00021,258.8,18.3,3.4,3.7,Sandy Clay,Coastal Andhra,673.0,1,55.9,2.53,2.3,2549,6.7,46.0,Medium,1
Srikakulam,BW-SRI-00022,282.5,27.0,5.3,10.0,Sandy Clay,Coastal Andhra,582.4,2,60.8,2.77,8.3,2599,5.5,60.9,Medium,1
Srikakulam,BW-SRI-00023,350.4,23.9,0.8,12.4,Sandy Loam,Coastal Andhra,589.7,4,57.2,1.59,10.4,3143,2.7,38.1,Medium,0
Srikakulam,BW-SRI-00024,251.5,41.0,8.4,8.1,Sandy Loam,Coastal Andhra,467.5,2,67.3,5.27,5.5,2073,11.0,79.8,High,1
Srikakulam,BW-SRI-00025,359.1,37.9,9.4,8.0,Sandy Loam,Coastal Andhra,573.7,3,61.9,4.35,13.4,2873,8.0,80.8,High,1
Srikakulam,BW-SRI-00026,140.4,17.0,10.1,12.1,Sandy Clay,Coastal Andhra,537.3,0,70.3,4.25,13.9,2733,8.8,96.6,High,1
Srikakulam,BW-SRI-00027,268.8,23.2,0.8,5.5,Sandy Clay,Coastal Andhra,458.8,4,53.2,2.32,9.8,2800,1.4,30.8,Low,0
Srikakulam,BW-SRI-00028,376.6,40.2,3.6,13.4,Sandy Loam,Coastal Andhra,486.7,1,55.2,3.28,11.9,2581,6.0,58.5,Medium,1
Srikakulam,BW-SRI-00029,286.1,22.5,22.0,9.1,Sandy Clay,Coastal Andhra,341.6,2,81.1,7.85,15.3,2052,18.2,100.0,High,1
Srikakulam,BW-SRI-00030,305.9,30.8,3.8,6.2,Sandy Clay,Coastal Andhra,531.1,0,61.9,2.32,9.2,2599,0.6,47.9,Medium,1
Srikakulam,BW-SRI-00031,325.9,29.6,1.6,12.6,Sandy Loam,Coastal Andhra,529.1,1,60.9,3.32,16.2,2746,3.7,72.5,High,1
Srikakulam,BW-SRI-00032,364.1,26.6,0.9,10.6,Sandy Clay,Coastal Andhra,300,1,61.2,1.48,13.8,2580,3.9,44.9,Medium,0
Srikakulam,BW-SRI-00033,167.4,41.6,11.9,10.4,Sandy Loam,Coastal Andhra,499.3,1,70.3,3.72,9.6,2598,11.9,98.2,High,1
Srikakulam,BW-SRI-00034,197.0,31.5,1.2,7.1,Sandy Loam,Coastal Andhra,436.4,2,51.8,0.53,4.8,2448,2.7,21.3,Low,0
Srikakulam,BW-SRI-00035,281.6,27.8,9.6,8.6,Sandy Loam,Coastal Andhra,602.2,2,58.1,4.8,5.5,2594,8.2,65.1,High,1
Srikakulam,BW-SRI-00036,389.5,16.5,3.7,5.0,Sandy Clay,Coastal Andhra,682.9,3,48.1,1.56,0.0,2801,5.4,23.4,Low,0
Srikakulam,BW-SRI-00037,176.1,23.4,0.8,10.7,Sandy Loam,Coastal Andhra,784.9,3,55.2,2.9,12.1,2801,1.2,38.0,Medium,0
Srikakulam,BW-SRI-00038,457.9,36.0,2.6,8.4,Sandy Clay,Coastal Andhra,445.0,1,53.1,1.51,5.5,2359,2.7,37.7,Medium,0
Srikakulam,BW-SRI-00039,204.2,29.0,3.2,7.7,Sandy Loam,Coastal Andhra,563.4,3,64.2,3.82,8.8,3004,4.0,50.6,Medium,1
Srikakulam,BW-SRI-00040,110.1,22.5,4.3,7.1,Sandy Clay,Coastal Andhra,492.1,2,51.8,2.46,3.2,2428,3.4,36.2,Medium,1
Srikakulam,BW-SRI-00041,342.2,23.8,6.9,12.3,Sandy Loam,Coastal Andhra,520.4,2,63.9,5.11,8.4,2669,8.0,78.7,High,0
Srikakulam,BW-SRI-00042,235.8,24.7,1.1,11.1,Sandy Loam,Coastal Andhra,470.0,3,55.2,0.1,13.2,2977,2.2,32.1,Low,0
Srikakulam,BW-SRI-00043,261.5,31.2,2.9,8.3,Sandy Clay,Coastal Andhra,519.8,1,53.2,1.79,10.3,2835,4.7,55.1,Medium,0
Srikakulam,BW-SRI-00044,302.4,30.1,1.0,5.5,Sandy Clay,Coastal Andhra,681.2,1,51.6,2.08,9.6,3201,0,33.1,Low,1
